[I 230119 08:20:56 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.01,
      "lambda_entropy": 0.05,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "DORL_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230119 08:23:57 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.08466', 'CV_turn': '0.94135', 'ctr': '0.20581', 'len_tra': 6.82, 'R_tra': 1.4036505293217487, 'ifeat_feat': 0.6480938416422287, 'NX_0_CV': '0.07649', 'NX_0_CV_turn': '0.95868', 'NX_0_ctr': '0.19431', 'NX_0_len_tra': 6.05, 'NX_0_R_tra': 1.1755681241652929, 'NX_0_ifeat_feat': 0.6413223140495867, 'NX_10_CV': '0.12172', 'NX_10_CV_turn': '0.92300', 'NX_10_ctr': '0.23599', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.3598635342286434, 'NX_10_ifeat_feat': 0.682}]
[I 230119 08:24:19 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.01648', 'CV_turn': '0.14934', 'ctr': '0.43724', 'len_tra': 8.37, 'R_tra': 3.659726244062185, 'ifeat_feat': 0.3954599761051374, 'NX_0_CV': '0.02624', 'NX_0_CV_turn': '0.15583', 'NX_0_ctr': '0.43296', 'NX_0_len_tra': 12.77, 'NX_0_R_tra': 5.528886843267828, 'NX_0_ifeat_feat': 0.480814408770556, 'NX_10_CV': '0.02031', 'NX_10_CV_turn': '0.15400', 'NX_10_ctr': '0.44641', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.464055044148117, 'NX_10_ifeat_feat': 0.432}]
[I 230119 08:24:39 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.01081', 'CV_turn': '0.08095', 'ctr': '0.46351', 'len_tra': 10.13, 'R_tra': 4.6953923228010535, 'ifeat_feat': 0.40078973346495556, 'NX_0_CV': '0.02044', 'NX_0_CV_turn': '0.08132', 'NX_0_ctr': '0.44536', 'NX_0_len_tra': 19.06, 'NX_0_R_tra': 8.4886284792237, 'NX_0_ifeat_feat': 0.419202518363064, 'NX_10_CV': '0.01385', 'NX_10_CV_turn': '0.10500', 'NX_10_ctr': '0.44893', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.48925162277068, 'NX_10_ifeat_feat': 0.413}]
[I 230119 08:25:01 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.01055', 'CV_turn': '0.08820', 'ctr': '0.45704', 'len_tra': 9.07, 'R_tra': 4.145379729811102, 'ifeat_feat': 0.37927232635060637, 'NX_0_CV': '0.01701', 'NX_0_CV_turn': '0.06065', 'NX_0_ctr': '0.43466', 'NX_0_len_tra': 21.27, 'NX_0_R_tra': 9.245216140516568, 'NX_0_ifeat_feat': 0.38975082275505407, 'NX_10_CV': '0.01015', 'NX_10_CV_turn': '0.07700', 'NX_10_ctr': '0.45497', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.549741570698098, 'NX_10_ifeat_feat': 0.356}]
[I 230119 08:25:23 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.00936', 'CV_turn': '0.06443', 'ctr': '0.44050', 'len_tra': 11.02, 'R_tra': 4.854338168818503, 'ifeat_feat': 0.37477313974591653, 'NX_0_CV': '0.02057', 'NX_0_CV_turn': '0.06538', 'NX_0_ctr': '0.41061', 'NX_0_len_tra': 23.86, 'NX_0_R_tra': 9.79717068979051, 'NX_0_ifeat_feat': 0.4052808046940486, 'NX_10_CV': '0.01147', 'NX_10_CV_turn': '0.08700', 'NX_10_ctr': '0.48257', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.825705187013373, 'NX_10_ifeat_feat': 0.43}]
[I 230119 08:25:45 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.00949', 'CV_turn': '0.06557', 'ctr': '0.46254', 'len_tra': 10.98, 'R_tra': 5.0786457432433965, 'ifeat_feat': 0.39526411657559196, 'NX_0_CV': '0.01569', 'NX_0_CV_turn': '0.04787', 'NX_0_ctr': '0.47266', 'NX_0_len_tra': 24.86, 'NX_0_R_tra': 11.750357785997913, 'NX_0_ifeat_feat': 0.36403861625100564, 'NX_10_CV': '0.01095', 'NX_10_CV_turn': '0.08300', 'NX_10_ctr': '0.42746', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.274597979048267, 'NX_10_ifeat_feat': 0.4}]
[I 230119 08:26:07 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.00791', 'CV_turn': '0.06073', 'ctr': '0.45641', 'len_tra': 9.88, 'R_tra': 4.509335319697857, 'ifeat_feat': 0.36538461538461536, 'NX_0_CV': '0.01464', 'NX_0_CV_turn': '0.04356', 'NX_0_ctr': '0.44533', 'NX_0_len_tra': 25.48, 'NX_0_R_tra': 11.346985318693333, 'NX_0_ifeat_feat': 0.3630298273155416, 'NX_10_CV': '0.00804', 'NX_10_CV_turn': '0.06100', 'NX_10_ctr': '0.46313', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.631334348991513, 'NX_10_ifeat_feat': 0.369}]
[I 230119 08:26:30 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.00778', 'CV_turn': '0.06082', 'ctr': '0.47639', 'len_tra': 9.7, 'R_tra': 4.620959563367069, 'ifeat_feat': 0.3865979381443299, 'NX_0_CV': '0.01451', 'NX_0_CV_turn': '0.04321', 'NX_0_ctr': '0.46547', 'NX_0_len_tra': 25.46, 'NX_0_R_tra': 11.850977064520121, 'NX_0_ifeat_feat': 0.37117046347211313, 'NX_10_CV': '0.00923', 'NX_10_CV_turn': '0.07000', 'NX_10_ctr': '0.46267', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.626749843172729, 'NX_10_ifeat_feat': 0.398}]
[I 230119 08:26:52 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.00791', 'CV_turn': '0.06593', 'ctr': '0.47231', 'len_tra': 9.1, 'R_tra': 4.297986150514334, 'ifeat_feat': 0.4307692307692308, 'NX_0_CV': '0.01490', 'NX_0_CV_turn': '0.04442', 'NX_0_ctr': '0.44645', 'NX_0_len_tra': 25.44, 'NX_0_R_tra': 11.35763783515431, 'NX_0_ifeat_feat': 0.3565251572327044, 'NX_10_CV': '0.00923', 'NX_10_CV_turn': '0.07000', 'NX_10_ctr': '0.46972', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.6972332545439714, 'NX_10_ifeat_feat': 0.397}]
[I 230119 08:27:13 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.00791', 'CV_turn': '0.05540', 'ctr': '0.41804', 'len_tra': 10.83, 'R_tra': 4.527319438997656, 'ifeat_feat': 0.3656509695290859, 'NX_0_CV': '0.01411', 'NX_0_CV_turn': '0.04100', 'NX_0_ctr': '0.44391', 'NX_0_len_tra': 26.1, 'NX_0_R_tra': 11.586136170271784, 'NX_0_ifeat_feat': 0.35555555555555557, 'NX_10_CV': '0.00818', 'NX_10_CV_turn': '0.06200', 'NX_10_ctr': '0.47584', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.758355115125887, 'NX_10_ifeat_feat': 0.36}]
[I 230119 08:27:35 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.00778', 'CV_turn': '0.05657', 'ctr': '0.45941', 'len_tra': 10.43, 'R_tra': 4.791612721933052, 'ifeat_feat': 0.38063279002876316, 'NX_0_CV': '0.01147', 'NX_0_CV_turn': '0.03364', 'NX_0_ctr': '0.47524', 'NX_0_len_tra': 25.86, 'NX_0_R_tra': 12.289615724058821, 'NX_0_ifeat_feat': 0.34648105181747874, 'NX_10_CV': '0.00752', 'NX_10_CV_turn': '0.05700', 'NX_10_ctr': '0.49111', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.911071674004197, 'NX_10_ifeat_feat': 0.362}]
