[I 230118 17:45:46 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.0,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MBPO_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230118 17:50:11 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.08071', 'CV_turn': '0.95179', 'ctr': '0.24117', 'len_tra': 6.43, 'R_tra': 1.550713818189688, 'ifeat_feat': 0.6998444790046656, 'NX_0_CV': '0.09126', 'NX_0_CV_turn': '0.95055', 'NX_0_ctr': '0.23084', 'NX_0_len_tra': 7.28, 'NX_0_R_tra': 1.680492994771339, 'NX_0_ifeat_feat': 0.6868131868131868, 'NX_10_CV': '0.12106', 'NX_10_CV_turn': '0.91800', 'NX_10_ctr': '0.24534', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.4534010493941607, 'NX_10_ifeat_feat': 0.685}]
[I 230118 17:50:50 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.01200', 'CV_turn': '0.10044', 'ctr': '0.43792', 'len_tra': 9.06, 'R_tra': 3.9675806754175573, 'ifeat_feat': 0.3830022075055188, 'NX_0_CV': '0.02176', 'NX_0_CV_turn': '0.07910', 'NX_0_ctr': '0.43244', 'NX_0_len_tra': 20.86, 'NX_0_R_tra': 9.020647688468452, 'NX_0_ifeat_feat': 0.44726749760306805, 'NX_10_CV': '0.01253', 'NX_10_CV_turn': '0.09500', 'NX_10_ctr': '0.43242', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.324201940167695, 'NX_10_ifeat_feat': 0.405}]
[I 230118 17:51:29 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.00870', 'CV_turn': '0.07317', 'ctr': '0.47221', 'len_tra': 9.02, 'R_tra': 4.259303903579712, 'ifeat_feat': 0.4157427937915743, 'NX_0_CV': '0.02268', 'NX_0_CV_turn': '0.07996', 'NX_0_ctr': '0.45115', 'NX_0_len_tra': 21.51, 'NX_0_R_tra': 9.704132799479703, 'NX_0_ifeat_feat': 0.4295676429567643, 'NX_10_CV': '0.01029', 'NX_10_CV_turn': '0.07800', 'NX_10_ctr': '0.45851', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.58506075207144, 'NX_10_ifeat_feat': 0.384}]
[I 230118 17:52:06 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.00910', 'CV_turn': '0.07492', 'ctr': '0.47065', 'len_tra': 9.21, 'R_tra': 4.334671856476925, 'ifeat_feat': 0.3930510314875136, 'NX_0_CV': '0.01859', 'NX_0_CV_turn': '0.07001', 'NX_0_ctr': '0.44205', 'NX_0_len_tra': 20.14, 'NX_0_R_tra': 8.902834642273374, 'NX_0_ifeat_feat': 0.43346573982125125, 'NX_10_CV': '0.01160', 'NX_10_CV_turn': '0.08800', 'NX_10_ctr': '0.41031', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.103116958774626, 'NX_10_ifeat_feat': 0.402}]
[I 230118 17:52:43 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.00765', 'CV_turn': '0.06721', 'ctr': '0.46158', 'len_tra': 8.63, 'R_tra': 3.983433968517929, 'ifeat_feat': 0.37891077636152953, 'NX_0_CV': '0.01622', 'NX_0_CV_turn': '0.05807', 'NX_0_ctr': '0.46801', 'NX_0_len_tra': 21.18, 'NX_0_R_tra': 9.912425032986794, 'NX_0_ifeat_feat': 0.4192634560906516, 'NX_10_CV': '0.00936', 'NX_10_CV_turn': '0.07100', 'NX_10_ctr': '0.46078', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.607810353860259, 'NX_10_ifeat_feat': 0.42}]
[I 230118 17:53:20 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.00818', 'CV_turn': '0.06547', 'ctr': '0.48681', 'len_tra': 9.47, 'R_tra': 4.610133626237512, 'ifeat_feat': 0.4033790918690602, 'NX_0_CV': '0.01398', 'NX_0_CV_turn': '0.04655', 'NX_0_ctr': '0.45584', 'NX_0_len_tra': 22.77, 'NX_0_R_tra': 10.379430467151105, 'NX_0_ifeat_feat': 0.39042599912165127, 'NX_10_CV': '0.00778', 'NX_10_CV_turn': '0.05900', 'NX_10_ctr': '0.44359', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.435896748225205, 'NX_10_ifeat_feat': 0.393}]
[I 230118 17:53:59 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.00818', 'CV_turn': '0.06108', 'ctr': '0.49881', 'len_tra': 10.15, 'R_tra': 5.062895535379648, 'ifeat_feat': 0.3694581280788177, 'NX_0_CV': '0.01319', 'NX_0_CV_turn': '0.04241', 'NX_0_ctr': '0.45242', 'NX_0_len_tra': 23.58, 'NX_0_R_tra': 10.668097902461886, 'NX_0_ifeat_feat': 0.37234944868532655, 'NX_10_CV': '0.00857', 'NX_10_CV_turn': '0.06500', 'NX_10_ctr': '0.47190', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.719028578603175, 'NX_10_ifeat_feat': 0.377}]
[I 230118 17:54:37 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.00778', 'CV_turn': '0.06434', 'ctr': '0.48443', 'len_tra': 9.17, 'R_tra': 4.442195411901921, 'ifeat_feat': 0.37295528898582336, 'NX_0_CV': '0.01213', 'NX_0_CV_turn': '0.04051', 'NX_0_ctr': '0.43138', 'NX_0_len_tra': 22.71, 'NX_0_R_tra': 9.796751790679991, 'NX_0_ifeat_feat': 0.3817701453104359, 'NX_10_CV': '0.00870', 'NX_10_CV_turn': '0.06600', 'NX_10_ctr': '0.44687', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.468718041116372, 'NX_10_ifeat_feat': 0.366}]
[I 230118 17:55:12 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.00870', 'CV_turn': '0.07135', 'ctr': '0.44560', 'len_tra': 9.25, 'R_tra': 4.121791007503634, 'ifeat_feat': 0.36972972972972973, 'NX_0_CV': '0.01279', 'NX_0_CV_turn': '0.04140', 'NX_0_ctr': '0.41675', 'NX_0_len_tra': 23.43, 'NX_0_R_tra': 9.764345335811377, 'NX_0_ifeat_feat': 0.3691848058045241, 'NX_10_CV': '0.00791', 'NX_10_CV_turn': '0.06000', 'NX_10_ctr': '0.47555', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.755454376372509, 'NX_10_ifeat_feat': 0.403}]
[I 230118 17:55:45 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.00752', 'CV_turn': '0.05403', 'ctr': '0.49895', 'len_tra': 10.55, 'R_tra': 5.263955148980021, 'ifeat_feat': 0.33933649289099527, 'NX_0_CV': '0.01187', 'NX_0_CV_turn': '0.03359', 'NX_0_ctr': '0.44951', 'NX_0_len_tra': 26.79, 'NX_0_R_tra': 12.042453407282009, 'NX_0_ifeat_feat': 0.3706606942889138, 'NX_10_CV': '0.00725', 'NX_10_CV_turn': '0.05500', 'NX_10_ctr': '0.47171', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.717077675177716, 'NX_10_ifeat_feat': 0.359}]
[I 230118 17:56:21 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.00738', 'CV_turn': '0.05550', 'ctr': '0.46515', 'len_tra': 10.09, 'R_tra': 4.693399469647557, 'ifeat_feat': 0.34291377601585726, 'NX_0_CV': '0.01147', 'NX_0_CV_turn': '0.03598', 'NX_0_ctr': '0.47607', 'NX_0_len_tra': 24.18, 'NX_0_R_tra': 11.511257096976042, 'NX_0_ifeat_feat': 0.37220843672456577, 'NX_10_CV': '0.00659', 'NX_10_CV_turn': '0.05000', 'NX_10_ctr': '0.46481', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.648104278966785, 'NX_10_ifeat_feat': 0.339}]
