[I 230119 08:21:04 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.01,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MOPO_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230119 08:24:07 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.07767', 'CV_turn': '0.94847', 'ctr': '0.21812', 'len_tra': 6.21, 'R_tra': 1.354536549351178, 'ifeat_feat': 0.6731078904991948, 'NX_0_CV': '0.08954', 'NX_0_CV_turn': '0.95231', 'NX_0_ctr': '0.24730', 'NX_0_len_tra': 7.13, 'NX_0_R_tra': 1.7632628320716321, 'NX_0_ifeat_feat': 0.6549789621318373, 'NX_10_CV': '0.12423', 'NX_10_CV_turn': '0.94200', 'NX_10_ctr': '0.23198', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.319777177076321, 'NX_10_ifeat_feat': 0.692}]
[I 230119 08:24:29 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.01292', 'CV_turn': '0.11449', 'ctr': '0.44290', 'len_tra': 8.56, 'R_tra': 3.791204143050127, 'ifeat_feat': 0.4030373831775701, 'NX_0_CV': '0.02611', 'NX_0_CV_turn': '0.10927', 'NX_0_ctr': '0.42069', 'NX_0_len_tra': 18.12, 'NX_0_R_tra': 7.622830710858107, 'NX_0_ifeat_feat': 0.4155629139072848, 'NX_10_CV': '0.01517', 'NX_10_CV_turn': '0.11500', 'NX_10_ctr': '0.42938', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.293791324459017, 'NX_10_ifeat_feat': 0.401}]
[I 230119 08:24:49 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.01081', 'CV_turn': '0.08208', 'ctr': '0.46124', 'len_tra': 9.99, 'R_tra': 4.607755705481395, 'ifeat_feat': 0.45345345345345345, 'NX_0_CV': '0.02123', 'NX_0_CV_turn': '0.08614', 'NX_0_ctr': '0.45280', 'NX_0_len_tra': 18.69, 'NX_0_R_tra': 8.462769374209456, 'NX_0_ifeat_feat': 0.4451578384162654, 'NX_10_CV': '0.01213', 'NX_10_CV_turn': '0.09200', 'NX_10_ctr': '0.45209', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.5208755087060855, 'NX_10_ifeat_feat': 0.432}]
[I 230119 08:25:11 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.00725', 'CV_turn': '0.06366', 'ctr': '0.45303', 'len_tra': 8.64, 'R_tra': 3.9141697888309137, 'ifeat_feat': 0.42824074074074076, 'NX_0_CV': '0.01596', 'NX_0_CV_turn': '0.06460', 'NX_0_ctr': '0.44721', 'NX_0_len_tra': 18.73, 'NX_0_R_tra': 8.37622675942257, 'NX_0_ifeat_feat': 0.4399359316604378, 'NX_10_CV': '0.00976', 'NX_10_CV_turn': '0.07400', 'NX_10_ctr': '0.43604', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.360390508095734, 'NX_10_ifeat_feat': 0.406}]
[I 230119 08:25:34 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.00949', 'CV_turn': '0.07973', 'ctr': '0.43457', 'len_tra': 9.03, 'R_tra': 3.924170935470611, 'ifeat_feat': 0.4219269102990033, 'NX_0_CV': '0.01319', 'NX_0_CV_turn': '0.04803', 'NX_0_ctr': '0.46347', 'NX_0_len_tra': 20.82, 'NX_0_R_tra': 9.649350274526514, 'NX_0_ifeat_feat': 0.42315081652257447, 'NX_10_CV': '0.01029', 'NX_10_CV_turn': '0.07800', 'NX_10_ctr': '0.45335', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.5335381463728845, 'NX_10_ifeat_feat': 0.403}]
[I 230119 08:25:57 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.00936', 'CV_turn': '0.06954', 'ctr': '0.47731', 'len_tra': 10.21, 'R_tra': 4.873317743036896, 'ifeat_feat': 0.41723800195886385, 'NX_0_CV': '0.01292', 'NX_0_CV_turn': '0.04937', 'NX_0_ctr': '0.44015', 'NX_0_len_tra': 19.85, 'NX_0_R_tra': 8.736970235090702, 'NX_0_ifeat_feat': 0.42468513853904283, 'NX_10_CV': '0.00976', 'NX_10_CV_turn': '0.07400', 'NX_10_ctr': '0.47654', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.765433817300946, 'NX_10_ifeat_feat': 0.421}]
[I 230119 08:26:20 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.00884', 'CV_turn': '0.08407', 'ctr': '0.47457', 'len_tra': 7.97, 'R_tra': 3.7823085527680815, 'ifeat_feat': 0.4002509410288582, 'NX_0_CV': '0.01464', 'NX_0_CV_turn': '0.05258', 'NX_0_ctr': '0.42760', 'NX_0_len_tra': 21.11, 'NX_0_R_tra': 9.026596464151517, 'NX_0_ifeat_feat': 0.39459971577451447, 'NX_10_CV': '0.01187', 'NX_10_CV_turn': '0.09000', 'NX_10_ctr': '0.44793', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.479255572855473, 'NX_10_ifeat_feat': 0.433}]
[I 230119 08:26:43 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.00791', 'CV_turn': '0.05906', 'ctr': '0.46233', 'len_tra': 10.16, 'R_tra': 4.697251423709094, 'ifeat_feat': 0.41633858267716534, 'NX_0_CV': '0.01319', 'NX_0_CV_turn': '0.04484', 'NX_0_ctr': '0.43809', 'NX_0_len_tra': 22.3, 'NX_0_R_tra': 9.769422818401363, 'NX_0_ifeat_feat': 0.39282511210762333, 'NX_10_CV': '0.01015', 'NX_10_CV_turn': '0.07700', 'NX_10_ctr': '0.43164', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.3163539492804555, 'NX_10_ifeat_feat': 0.403}]
[I 230119 08:27:05 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.00857', 'CV_turn': '0.06701', 'ctr': '0.46369', 'len_tra': 9.7, 'R_tra': 4.497758304923773, 'ifeat_feat': 0.4381443298969072, 'NX_0_CV': '0.01253', 'NX_0_CV_turn': '0.04069', 'NX_0_ctr': '0.42264', 'NX_0_len_tra': 23.35, 'NX_0_R_tra': 9.868609801959247, 'NX_0_ifeat_feat': 0.40342612419700213, 'NX_10_CV': '0.00791', 'NX_10_CV_turn': '0.06000', 'NX_10_ctr': '0.45877', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.5877014314197, 'NX_10_ifeat_feat': 0.406}]
[I 230119 08:27:28 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.05377', 'ctr': '0.48076', 'len_tra': 9.67, 'R_tra': 4.648928790576756, 'ifeat_feat': 0.39917269906928643, 'NX_0_CV': '0.01451', 'NX_0_CV_turn': '0.04530', 'NX_0_ctr': '0.43951', 'NX_0_len_tra': 24.28, 'NX_0_R_tra': 10.671266743789893, 'NX_0_ifeat_feat': 0.3805601317957166, 'NX_10_CV': '0.00791', 'NX_10_CV_turn': '0.06000', 'NX_10_ctr': '0.45338', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.533830756405369, 'NX_10_ifeat_feat': 0.395}]
[I 230119 08:27:50 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.05339', 'ctr': '0.47454', 'len_tra': 9.74, 'R_tra': 4.622052518054843, 'ifeat_feat': 0.4055441478439425, 'NX_0_CV': '0.01411', 'NX_0_CV_turn': '0.04111', 'NX_0_ctr': '0.44612', 'NX_0_len_tra': 26.03, 'NX_0_R_tra': 11.612466754298657, 'NX_0_ifeat_feat': 0.3730311179408375, 'NX_10_CV': '0.00725', 'NX_10_CV_turn': '0.05500', 'NX_10_ctr': '0.46146', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.614569553490728, 'NX_10_ifeat_feat': 0.383}]
