[I 230118 18:17:21 run_worldModel_ensemble:312] {
      "env": "KuaiEnv-v0",
      "resume": false,
      "optimizer": "adam",
      "seed": 0,
      "bpr_weight": 0.5,
      "neg_K": 3,
      "n_models": 1,
      "is_softmax": false,
      "num_trajectory": 200,
      "force_length": 10,
      "top_rate": 0.8,
      "deterministic": true,
      "loss": "pointneg",
      "rankingK": [
        20,
        10,
        5
      ],
      "max_turn": 30,
      "is_all_item_ranking": false,
      "l2_reg_dnn": 0.1,
      "lambda_ab": 10,
      "epsilon": 0.3,
      "is_ucb": false,
      "dnn_activation": "relu",
      "feature_dim": 8,
      "entity_dim": 8,
      "user_model_name": "EpsilonGreedy",
      "dnn": [
        128,
        128
      ],
      "dnn_var": [],
      "batch_size": 4096,
      "epoch": 200,
      "cuda": 1,
      "tau": 0,
      "is_ab": false,
      "message": "epsilon-greedy",
      "all_item_ranking": false,
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "is_userinfo": false,
      "is_binarize": false,
      "need_transform": true,
      "entropy_window": [
        1,
        2
      ],
      "yfeat": "watch_ratio_normed",
      "use_userEmbedding": false
    }
[I 230118 18:19:06 utils:50] Epoch: [-1], Info: [{'MAE': 0.2885590566513167, 'MSE': 0.3416665787068236, 'RMSE': 0.5845225219842463, 'click_loss': 0.6110927148593711, 'CV': '0.04839', 'CV_turn': '0.32008', 'ctr': 0.6044250623901908, 'len_tra': 2.515, 'R_tra': 1.5201290319113299, 'ifeat_feat': 0.9542743538767395, 'NX_0_click_loss': 0.4951903337715847, 'NX_0_CV': '0.04178', 'NX_0_CV_turn': '0.28081', 'NX_0_ctr': 0.48852788891752363, 'NX_0_len_tra': 2.475, 'NX_0_R_tra': 1.209106525070871, 'NX_0_ifeat_feat': 0.9474747474747475, 'NX_10_click_loss': array([0.71983404]), 'NX_10_CV': '0.16622', 'NX_10_CV_turn': '0.27650', 'NX_10_ctr': array([0.71310116]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([7.1310116]), 'NX_10_ifeat_feat': 0.949}]
[I 230118 18:24:25 utils:50] Epoch: [0], Info: [{'loss': 0.6060637557816096, 'MAE': 0.2790751926705935, 'MSE': 0.33450415255700555, 'RMSE': 0.5783633395686535, 'click_loss': 0.454057827407022, 'CV': '0.05260', 'CV_turn': '0.31818', 'ctr': 0.5052619919755269, 'len_tra': 2.75, 'R_tra': 1.389470477932699, 'ifeat_feat': 0.6545454545454545, 'NX_0_click_loss': 0.5678283657313973, 'NX_0_CV': '0.09258', 'NX_0_CV_turn': '0.37153', 'NX_0_ctr': 0.6381004722499168, 'NX_0_len_tra': 4.145, 'NX_0_R_tra': 2.6449264574759055, 'NX_0_ifeat_feat': 0.6731001206272618, 'NX_10_click_loss': array([0.56893002]), 'NX_10_CV': '0.20108', 'NX_10_CV_turn': '0.33450', 'NX_10_ctr': array([0.61922351]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([6.19223506]), 'NX_10_ifeat_feat': 0.7225}]
[I 230118 18:29:34 utils:50] Epoch: [1], Info: [{'loss': 0.6024767970554584, 'MAE': 0.28350216359582786, 'MSE': 0.3341653893762333, 'RMSE': 0.5780704017472554, 'click_loss': 0.689999329700822, 'CV': '0.06312', 'CV_turn': '0.36778', 'ctr': 0.7960724716994173, 'len_tra': 2.855, 'R_tra': 2.2727869067018363, 'ifeat_feat': 0.6830122591943958, 'NX_0_click_loss': 0.7689224370104126, 'NX_0_CV': '0.10911', 'NX_0_CV_turn': '0.40333', 'NX_0_ctr': 0.8672678548770358, 'NX_0_len_tra': 4.5, 'NX_0_R_tra': 3.9027053469466613, 'NX_0_ifeat_feat': 0.7611111111111111, 'NX_10_click_loss': array([0.76640329]), 'NX_10_CV': '0.21581', 'NX_10_CV_turn': '0.35900', 'NX_10_ctr': array([0.86348014]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.6348014]), 'NX_10_ifeat_feat': 0.776}]
[I 230118 18:34:40 utils:50] Epoch: [2], Info: [{'loss': 0.6014796066879982, 'MAE': 0.2807332657354829, 'MSE': 0.3346033339621093, 'RMSE': 0.5784490763776093, 'click_loss': 0.8471123323193693, 'CV': '0.06823', 'CV_turn': '0.42037', 'ctr': 0.9353521011480795, 'len_tra': 2.7, 'R_tra': 2.5254506730998147, 'ifeat_feat': 0.8351851851851851, 'NX_0_click_loss': 0.8850664915625582, 'NX_0_CV': '0.10941', 'NX_0_CV_turn': '0.43282', 'NX_0_ctr': 0.9755668837635989, 'NX_0_len_tra': 4.205, 'NX_0_R_tra': 4.1022587462259335, 'NX_0_ifeat_feat': 0.8394768133174791, 'NX_10_click_loss': array([0.88996611]), 'NX_10_CV': '0.23324', 'NX_10_CV_turn': '0.38800', 'NX_10_ctr': array([0.98147053]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([9.81470531]), 'NX_10_ifeat_feat': 0.8375}]
[I 230118 18:40:19 utils:50] Epoch: [3], Info: [{'loss': 0.6012588869527099, 'MAE': 0.28048748950567964, 'MSE': 0.3343146182196859, 'RMSE': 0.5781994623135566, 'click_loss': 0.862057312704953, 'CV': '0.05651', 'CV_turn': '0.37600', 'ctr': 0.9858935880780509, 'len_tra': 2.5, 'R_tra': 2.464733970195127, 'ifeat_feat': 0.812, 'NX_0_click_loss': 0.970589902074113, 'NX_0_CV': '0.10730', 'NX_0_CV_turn': '0.45946', 'NX_0_ctr': 1.0892381599220242, 'NX_0_len_tra': 3.885, 'NX_0_R_tra': 4.231690251297064, 'NX_0_ifeat_feat': 0.8043758043758044, 'NX_10_click_loss': array([0.89793035]), 'NX_10_CV': '0.22092', 'NX_10_CV_turn': '0.36750', 'NX_10_ctr': array([1.00772758]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([10.07727583]), 'NX_10_ifeat_feat': 0.811}]
[I 230118 18:45:28 utils:50] Epoch: [4], Info: [{'loss': 0.6010567250107569, 'MAE': 0.2793693942488378, 'MSE': 0.3348423150510576, 'RMSE': 0.5786556100575346, 'click_loss': 0.7900940340021958, 'CV': '0.05981', 'CV_turn': '0.37618', 'ctr': 0.9298684916313399, 'len_tra': 2.645, 'R_tra': 2.459502160364894, 'ifeat_feat': 0.775047258979206, 'NX_0_click_loss': 0.7700726622203184, 'NX_0_CV': '0.09378', 'NX_0_CV_turn': '0.42162', 'NX_0_ctr': 0.8617795951638616, 'NX_0_len_tra': 3.7, 'NX_0_R_tra': 3.188584502106288, 'NX_0_ifeat_feat': 0.768918918918919, 'NX_10_click_loss': array([0.75972909]), 'NX_10_CV': '0.22423', 'NX_10_CV_turn': '0.37300', 'NX_10_ctr': array([0.85906634]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.59066337]), 'NX_10_ifeat_feat': 0.7965}]
[I 230118 18:50:30 utils:50] Epoch: [5], Info: [{'loss': 0.600854394314773, 'MAE': 0.28357744703976956, 'MSE': 0.3351738600502242, 'RMSE': 0.5789420178655408, 'click_loss': 0.5532458585076314, 'CV': '0.05951', 'CV_turn': '0.37429', 'ctr': 0.631763309676093, 'len_tra': 2.645, 'R_tra': 1.6710139540932658, 'ifeat_feat': 0.7391304347826086, 'NX_0_click_loss': 0.5755683329189819, 'NX_0_CV': '0.11271', 'NX_0_CV_turn': '0.43453', 'NX_0_ctr': 0.675490543418207, 'NX_0_len_tra': 4.315, 'NX_0_R_tra': 2.9147416948495635, 'NX_0_ifeat_feat': 0.7705677867902665, 'NX_10_click_loss': array([0.57486248]), 'NX_10_CV': '0.22873', 'NX_10_CV_turn': '0.38050', 'NX_10_ctr': array([0.66218749]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([6.62187489]), 'NX_10_ifeat_feat': 0.745}]
[I 230118 18:55:41 utils:50] Epoch: [6], Info: [{'loss': 0.6005114452708069, 'MAE': 0.2789997579930455, 'MSE': 0.33446497280080506, 'RMSE': 0.5783294673460838, 'click_loss': 0.8406676058269488, 'CV': '0.06793', 'CV_turn': '0.41392', 'ctr': 0.9592263626786627, 'len_tra': 2.73, 'R_tra': 2.6186879701127492, 'ifeat_feat': 0.7307692307692307, 'NX_0_click_loss': 0.8072576380432617, 'NX_0_CV': '0.11903', 'NX_0_CV_turn': '0.46316', 'NX_0_ctr': 0.9116186380080343, 'NX_0_len_tra': 4.275, 'NX_0_R_tra': 3.8971696774843467, 'NX_0_ifeat_feat': 0.7660818713450293, 'NX_10_click_loss': array([0.84161745]), 'NX_10_CV': '0.22723', 'NX_10_CV_turn': '0.37800', 'NX_10_ctr': array([0.9489267]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([9.48926698]), 'NX_10_ifeat_feat': 0.78}]
[I 230118 19:00:54 utils:50] Epoch: [7], Info: [{'loss': 0.5997541043687975, 'MAE': 0.28019916884100055, 'MSE': 0.33482767648749273, 'RMSE': 0.5786429611491811, 'click_loss': 0.7539760975053088, 'CV': '0.06372', 'CV_turn': '0.40304', 'ctr': 0.8298812206506618, 'len_tra': 2.63, 'R_tra': 2.1825876103112405, 'ifeat_feat': 0.8250950570342205, 'NX_0_click_loss': 0.7834036427236364, 'NX_0_CV': '0.11211', 'NX_0_CV_turn': '0.46509', 'NX_0_ctr': 0.8963912309659356, 'NX_0_len_tra': 4.01, 'NX_0_R_tra': 3.594528836173402, 'NX_0_ifeat_feat': 0.7992518703241895, 'NX_10_click_loss': array([0.78865872]), 'NX_10_CV': '0.22753', 'NX_10_CV_turn': '0.37850', 'NX_10_ctr': array([0.87940408]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.79404084]), 'NX_10_ifeat_feat': 0.8015}]
[I 230118 19:06:07 utils:50] Epoch: [8], Info: [{'loss': 0.5989459080080334, 'MAE': 0.28151242883283795, 'MSE': 0.334979322844759, 'RMSE': 0.5787739825223306, 'click_loss': 0.7042514688312834, 'CV': '0.06793', 'CV_turn': '0.40285', 'ctr': 0.7889074024672221, 'len_tra': 2.805, 'R_tra': 2.2128852639205583, 'ifeat_feat': 0.6862745098039216, 'NX_0_click_loss': 0.7442320851999698, 'NX_0_CV': '0.11362', 'NX_0_CV_turn': '0.45107', 'NX_0_ctr': 0.853808266800853, 'NX_0_len_tra': 4.19, 'NX_0_R_tra': 3.577456637895574, 'NX_0_ifeat_feat': 0.7863961813842482, 'NX_10_click_loss': array([0.77415536]), 'NX_10_CV': '0.22302', 'NX_10_CV_turn': '0.37100', 'NX_10_ctr': array([0.85940332]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.59403317]), 'NX_10_ifeat_feat': 0.786}]
[I 230118 19:11:19 utils:50] Epoch: [9], Info: [{'loss': 0.5980245616944713, 'MAE': 0.28264464897560077, 'MSE': 0.3355074550979513, 'RMSE': 0.5792300536901994, 'click_loss': 0.5847689163319121, 'CV': '0.06072', 'CV_turn': '0.36396', 'ctr': 0.6186481339978706, 'len_tra': 2.775, 'R_tra': 1.716748571844091, 'ifeat_feat': 0.8054054054054054, 'NX_0_click_loss': 0.670649856682407, 'NX_0_CV': '0.10370', 'NX_0_CV_turn': '0.42331', 'NX_0_ctr': 0.7499957566168374, 'NX_0_len_tra': 4.075, 'NX_0_R_tra': 3.0562327082136123, 'NX_0_ifeat_feat': 0.8098159509202454, 'NX_10_click_loss': array([0.6910091]), 'NX_10_CV': '0.22843', 'NX_10_CV_turn': '0.38000', 'NX_10_ctr': array([0.76588714]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([7.65887138]), 'NX_10_ifeat_feat': 0.7805}]
[I 230118 19:16:38 utils:50] Epoch: [10], Info: [{'loss': 0.5974287580322173, 'MAE': 0.27882152480027533, 'MSE': 0.3350545368635324, 'RMSE': 0.5788389558966573, 'click_loss': 0.6578463564669608, 'CV': '0.06492', 'CV_turn': '0.39706', 'ctr': 0.748469897154421, 'len_tra': 2.72, 'R_tra': 2.0358381202600255, 'ifeat_feat': 0.8253676470588235, 'NX_0_click_loss': 0.7069638273363547, 'NX_0_CV': '0.11271', 'NX_0_CV_turn': '0.45620', 'NX_0_ctr': 0.7909514546346526, 'NX_0_len_tra': 4.11, 'NX_0_R_tra': 3.250810478548422, 'NX_0_ifeat_feat': 0.8248175182481752, 'NX_10_click_loss': array([0.72681496]), 'NX_10_CV': '0.21791', 'NX_10_CV_turn': '0.36250', 'NX_10_ctr': array([0.81745075]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.17450753]), 'NX_10_ifeat_feat': 0.7745}]
